ds,y
1/4/1975,100
1/5/1975,89.98
1/6/1975,91.64
1/7/1975,98.02
1/8/1975,98.39
1/9/1975,92.1
1/10/1975,91.1
1/11/1975,89.07
1/12/1975,84.07
1/1/1976,82.55
1/2/1976,80.9
1/3/1976,77.57
1/4/1976,80.7
1/5/1976,78.12
1/6/1976,77.63
1/7/1976,78.38
1/8/1976,79.92
1/9/1976,79.65
1/10/1976,80.08
1/11/1976,80.66
1/12/1976,82.69
1/1/1977,87.55
1/2/1977,89.95
1/3/1977,97.68
1/4/1977,101.24
1/5/1977,104.15
1/6/1977,113.47
1/7/1977,127.8
1/8/1977,150.07
1/9/1977,149.93
1/10/1977,192.62
1/11/1977,182.45
1/12/1977,181.58
1/1/1978,201.01
1/2/1978,202.05
1/3/1978,188.61
1/4/1978,182.38
1/5/1978,187.91
1/6/1978,189.99
1/7/1978,184.75
1/8/1978,194.18
1/9/1978,206.93
1/10/1978,242.85
1/11/1978,239.8
1/12/1978,257.73
1/1/1979,239.81
1/2/1979,229.43
1/3/1979,218.09
1/4/1979,175.88
1/5/1979,183.72
1/6/1979,175.58
1/7/1979,175.09
1/8/1979,170.91
1/9/1979,169.32
1/10/1979,158.47
1/11/1979,152.45
1/12/1979,149.4
1/1/1980,136.84
1/2/1980,137.91
1/3/1980,138.25
1/4/1980,129.63
1/5/1980,124.11
1/6/1980,127.81
1/7/1980,126.61
1/8/1980,120.36
1/9/1980,118.87
1/10/1980,119.04
1/11/1980,127.88
1/12/1980,124.67
1/1/1981,126.88
1/2/1981,127.05
1/3/1981,124.31
1/4/1981,121.62
1/5/1981,116.99
1/6/1981,112.41
1/7/1981,111.61
1/8/1981,104.68
1/9/1981,105.12
1/10/1981,105.04
1/11/1981,108.35
1/12/1981,106.62
1/1/1982,106.77
1/2/1982,106.16
1/3/1982,102.98
1/4/1982,104.89
1/5/1982,105.83
1/6/1982,106.61
1/7/1982,108.16
1/8/1982,124.09
1/9/1982,126.24
1/10/1982,127.49
1/11/1982,120.84
1/12/1982,123.5
1/1/1983,125.8
1/2/1983,125.03
1/3/1983,131.33
1/4/1983,137.27
1/5/1983,138.04
1/6/1983,139.88
1/7/1983,148.36
1/8/1983,144.73
1/9/1983,142.04
1/10/1983,138.6
1/11/1983,136.31
1/12/1983,134.47
1/1/1984,133.77
1/2/1984,131.4
1/3/1984,130.09
1/4/1984,132.73
1/5/1984,131.64
1/6/1984,133.14
1/7/1984,132.24
1/8/1984,132.89
1/9/1984,132.89
1/10/1984,135.84
1/11/1984,143.22
1/12/1984,142.29
1/1/1985,139.65
1/2/1985,139.47
1/3/1985,145.11
1/4/1985,151.14
1/5/1985,155.02
1/6/1985,155.19
1/7/1985,158.08
1/8/1985,150.71
1/9/1985,146.74
1/10/1985,146.11
1/11/1985,142.11
1/12/1985,134.95
1/1/1986,139.02
1/2/1986,136.5
1/3/1986,129.85
1/4/1986,129.54
1/5/1986,129.08
1/6/1986,131.51
1/7/1986,141.51
1/8/1986,149.84
1/9/1986,162.37
1/10/1986,183.77
1/11/1986,186.46
1/12/1986,207.2
1/1/1987,209.92
1/2/1987,208.79
1/3/1987,228.97
1/4/1987,250.19
1/5/1987,269.07
1/6/1987,299.87
1/7/1987,313.96
1/8/1987,353.15
1/9/1987,428.19
1/10/1987,299.83
1/11/1987,290.42
1/12/1987,284.94
1/1/1988,318.87
1/2/1988,374.83
1/3/1988,388.9
1/4/1988,413.91
1/5/1988,424.93
1/6/1988,452.7
1/7/1988,457.01
1/8/1988,436.55
1/9/1988,444.61
1/10/1988,418.74
1/11/1988,392.86
1/12/1988,386.73
1/1/1989,433.68
1/2/1989,435.78
1/3/1989,440.88
1/4/1989,500.21
1/5/1989,552.54
1/6/1989,606.21
1/7/1989,624.13
1/8/1989,681.92
1/9/1989,689.51
1/10/1989,695.01
1/11/1989,769.83
1/12/1989,879.19
1/1/1990,853.72
1/2/1990,813.67
1/3/1990,851.53
1/4/1990,855.97
1/5/1990,1000.71
1/6/1990,1060.22
1/7/1990,1115.73
1/8/1990,862.75
1/9/1990,641.56
1/10/1990,649.37
1/11/1990,544.3
1/12/1990,612.86
1/1/1991,658.47
1/2/1991,769.13
1/3/1991,865.74
1/4/1991,876.01
1/5/1991,808.19
1/6/1991,765.21
1/7/1991,728.7
1/8/1991,705.65
1/9/1991,670.79
1/10/1991,638.84
1/11/1991,671.07
1/12/1991,711.36
1/1/1992,763.45
1/2/1992,782.85
1/3/1992,822.72
1/4/1992,760.97
1/5/1992,688.84
1/6/1992,751.45
1/7/1992,744.42
1/8/1992,746.51
1/9/1992,847
1/10/1992,940.35
1/11/1992,865.21
1/12/1992,893.42
1/1/1993,974.48
1/2/1993,937.65
1/3/1993,865.23
1/4/1993,845.29
1/5/1993,825.71
1/6/1993,877.52
1/7/1993,928.2
1/8/1993,963.18
1/9/1993,971.44
1/10/1993,1260.91
1/11/1993,1309.95
1/12/1993,1682.85
1/1/1994,1493.45
1/2/1994,1372.93
1/3/1994,1239.99
1/4/1994,1266.67
1/5/1994,1356.87
1/6/1994,1273.34
1/7/1994,1376.88
1/8/1994,1524.83
1/9/1994,1485.71
1/10/1994,1528.83
1/11/1994,1362.44
1/12/1994,1360.09
1/1/1995,1217.74
1/2/1995,1288.47
1/3/1995,1216.68
1/4/1995,1208.69
1/5/1995,1392.31
1/6/1995,1394.77
1/7/1995,1383.1
1/8/1995,1314.9
1/9/1995,1294.23
1/10/1995,1270.76
1/11/1995,1196.62
1/12/1995,1280.81
1/1/1996,1410.33
1/2/1996,1321.87
1/3/1996,1289.73
1/4/1996,1292.61
1/5/1996,1311.91
1/6/1996,1247.08
1/7/1996,1064.04
1/8/1996,1102.32
1/9/1996,1099.01
1/10/1996,910.33
1/11/1996,925.97
1/12/1996,831.57
1/1/1997,788.04
1/2/1997,727.56
1/3/1997,705.43
1/4/1997,661.29
1/5/1997,566.39
1/6/1997,527.28
1/7/1997,665.62
1/8/1997,502.23
1/9/1997,544.54
1/10/1997,447.21
1/11/1997,395.47
1/12/1997,372.69
1/1/1998,495.23
1/2/1998,528.42
1/3/1998,459.11
1/4/1998,412.13
1/5/1998,325.59
1/6/1998,267.33
